Nama Kelompok,Nama komoditi,Tahun,Masukan,Keluaran,Impor,Ekpor,Perubahan stok,Pakan,Bibit,Makanan,Bukan makanan,Tercecer,Penggunaan lain,Bahan makanan,Kg tahun,Gram hari,Kalori hari,Protein hari,Lemak hari,Status angka,Kd uraian,Create at
Buah-buahan,Jeruk,2011,0,1.82,218,0,0,0,0,0,0,80,,1957,8.09,22.15,5,0.08,0.03,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,1993,0,45,0,0,0,0,0,0,0,5,,41,0.22,0.59,0,0,0,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,1994,0,54,0,0,0,0,0,0,0,5,,49,0.25,0.68,0,0,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,1995,0,159,0,0,0,0,0,0,0,16,,143,0.74,2.03,1,0.01,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,1996,0,166,0,0,0,0,0,0,0,17,,149,0.76,2.08,1,0.01,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,1997,0,1116,0,0,0,0,0,0,0,112,,1004,5.03,13.77,4,0.05,0.03,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,1998,0,736,0,0,0,0,0,0,0,74,,662,3.27,8.95,3,0.03,0.02,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,1999,0,824,0,0,0,0,0,0,0,82,,742,3.66,10.02,3,0.04,0.03,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,2000,0,830,0,0,0,0,0,0,0,83,,747,3.63,9.94,3,0.04,0.03,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,2001,0,1141,0,0,0,0,0,0,0,114,,1027,4.93,13.49,4,0.05,0.03,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,2002,0,1202,0,0,0,0,0,0,1,10,,1191,5.64,15.46,5,0.06,0.04,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,2003,0,1601.3,0,0,0,0,0,0,1.28,13.29,,1586.73,7.42,20.34,6,0.08,0.05,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,2004,0,1552,0,0,0,0,0,0,1,13,,1538,7.11,19.47,6,0.07,0.05,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,2005,0,122,0,0,0,0,0,0,0,1,,121,0.55,1.51,0,0.01,0,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,2006,0,123,0,0,0,0,0,0,0,1,,122,0.55,1.5,0,0.01,0,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,2007,0,118,0,0,0,0,0,0,0,1,,117,0.52,1.42,0,0.01,0,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,2008,0,241.58,1,0,0,0,0,0,0,2,,240,1.05,2.88,1,0.01,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,2009,0,180.12,1.17,1.17,0,0,0,0,0,2,,179,0.76,2.09,1,0.01,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,2010,0,141,1,1,0,0,0,0,0,1,,140,0.59,1.6,0,0.01,0,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,2011,0,208,1,0,0,0,0,0,0,2,,207,0.85,2.34,1,0.01,0.03,0,,04/01/2023 - 08:59
Buah-buahan,Lainnya,2012,0,353,1,1,0,0,0,0,0,3,,351,1.43,3.92,1,0.02,0.04,1,,04/01/2023 - 08:59
Buah-buahan,Lainnya,2013,0,178,1,0,0,0,0,0,0,1,,177,0.71,1.95,1,0.01,0.02,2,,04/01/2023 - 08:59
Buah-buahan,Mangga,1993,0,460,0,1,0,0,0,0,0,46,,413,2.2,6.03,2,0.02,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,1994,0,668,0,1,0,0,0,0,0,67,,600,3.15,8.63,3,0.02,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,1995,0,889,0,2,0,0,0,0,0,89,,798,4.12,11.3,4,0.04,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,1996,0,783,0,1,0,0,0,0,0,78,,704,3.58,9.8,4,0.04,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,1997,0,1088,0,0,0,0,0,0,0,109,,979,4.9,13.42,5,0.05,0.02,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,1998,0,600,0,0,0,0,0,0,0,60,,540,2.66,7.29,3,0.03,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,1999,0,827,0,1,0,0,0,0,0,83,,743,3.67,10.04,4,0.04,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,2000,0,876,0,0,0,0,0,0,0,88,,788,3.83,10.49,4,0.04,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,2001,0,923,0,0,0,0,0,0,0,92,,830,3.98,10.92,4,0.04,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,2002,0,1403,0,2,0,0,0,0,0,98,,1303,6.18,16.92,6,0.07,0.02,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,2003,0,1526.47,0.35,0.56,0,0,0,0,0,106.84,,1419.42,6.64,18.2,7,0.07,0.02,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,2004,0,1438,1,2,0,0,0,0,0,101,,1336,6.17,16.91,6,0.07,0.02,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,2005,0,1413,1,1,0,0,0,0,0,99,,1314,5.98,16.37,6,0.06,0.02,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,2006,0,1622,1,1,0,0,0,0,0,114,,1508,6.77,18.55,7,0.07,0.02,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,2007,0,1819,1,1,0,0,0,0,0,127,,1691,7.5,20.53,7,0.08,0.03,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,2008,0,2105.09,0.97,2,0,0,0,0,0,147,,1957,8.56,23.46,9,0.09,0.03,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,2009,0,2243.44,1,1,0,0,0,0,0,157,,2086,9.02,24.38,9,0.1,0.03,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,2010,0,1287,1,1,0,0,0,0,0,90,,1197,5.02,13.75,5,0.05,0.02,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,2011,0,2131,1,1,0,0,0,0,0,149,,1981,819,22.43,5,0.05,0.02,0,,04/01/2023 - 08:59
Buah-buahan,Mangga,2012,0,2376,1,2,0,0,0,0,0,166,,2210,9,24.67,6,0.06,0.02,1,,04/01/2023 - 08:59
Buah-buahan,Mangga,2013,0,2467,0,0,0,0,0,0,0,173,,2294,9.22,25.26,6,0.06,0.02,2,,04/01/2023 - 08:59
Buah-buahan,Manggis,1993,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Manggis,1994,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Manggis,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Manggis,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Manggis,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Manggis,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Manggis,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Manggis,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Manggis,2001,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Manggis,2002,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Manggis,2003,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Manggis,2004,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Manggis,2005,0,65,0,0,0,0,0,0,0,1,,64,0.29,0.8,0,0,0,0,,04/01/2023 - 08:59
Buah-buahan,Manggis,2006,0,73,0,6,0,0,0,0,0,1,,66,0.3,0.82,0,0,0,0,,04/01/2023 - 08:59
Buah-buahan,Manggis,2007,0,113,0,9,0,0,0,0,0,1,,103,0.46,1.25,0,0,0,0,,04/01/2023 - 08:59
Buah-buahan,Manggis,2008,0,79,0,9,0,0,0,0,0,1,,69,0.3,0.82,0,0,0,0,,04/01/2023 - 08:59
Buah-buahan,Manggis,2009,0,106,0,10,0,0,0,0,0,1,,95,0.41,1.11,0,0,0,0,,04/01/2023 - 08:59
Buah-buahan,Manggis,2010,0,85,0,11,0,0,0,0,0,1,,73,0.3,0.83,0,0,0,0,,04/01/2023 - 08:59
Buah-buahan,Manggis,2011,0,118,0,13,0,0,0,0,0,1,,104,0.43,1.18,0,0,0,0,,04/01/2023 - 08:59
Buah-buahan,Manggis,2012,0,190,0,20,0,0,0,0,0,1,,169,0.69,1.88,0,0,0,1,,04/01/2023 - 08:59
Buah-buahan,Manggis,2013,0,107,0,5,0,0,0,0,0,1,,101,0.41,1.12,0,0,0,2,,04/01/2023 - 08:59
Buah-buahan,Markisa,1993,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Markisa,1994,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Markisa,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Markisa,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Markisa,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Markisa,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Markisa,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Markisa,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Markisa,2001,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Markisa,2002,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Markisa,2003,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Markisa,2004,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Markisa,2005,0,83,0,0,0,0,0,0,0,1,,82,0.37,1.02,1,0.02,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Markisa,2006,0,120,0,0,0,0,0,0,0,1,,119,0.53,1.46,1,0.02,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Markisa,2007,0,107,0,0,0,0,0,0,0,1,,106,0.47,1.29,1,0.02,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Markisa,2008,0,138.03,0,0,0,0,0,0,0,1,,137,0.6,1.64,1,0.03,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Markisa,2009,0,120.8,0,0,0,0,0,0,0,1,,120,0.52,1.4,1,0.02,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Markisa,2010,0,132,0,0,0,0,0,0,0,1,,131,0.55,1.5,1,0.03,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Markisa,2011,0,141,0,0,0,0,0,0,0,1,,140,0.58,1.58,1,0.03,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Markisa,2012,0,135,0,0,0,0,0,0,0,1,,133,0.54,1.49,1,0.03,0.01,1,,04/01/2023 - 08:59
Buah-buahan,Markisa,2013,0,167,0,0,0,0,0,0,0,1,,166,0.67,1.82,1,0.03,0.01,2,,04/01/2023 - 08:59
Buah-buahan,Nanas,1993,0,459,0,0,0,0,0,0,0,46,,413,2.2,6.03,2,0.01,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,1994,0,346,0,0,0,0,0,0,0,35,,311,1.63,4.47,1,0.01,0,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,1995,0,703,0,2,0,0,0,0,0,70,,631,3.26,8.93,2,0.02,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,1996,0,501,0,11,0,0,0,0,0,49,,441,2.24,6.14,2,0.01,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,1997,0,386,0,6,0,0,0,0,0,38,,342,1.71,4.69,1,0.01,0,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,1998,0,327,0,0,0,0,0,0,0,33,,294,1.45,3.97,1,0.01,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,1999,0,317,0,1,0,0,0,0,0,32,,284,1.4,3.84,1,0.01,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,2000,0,393,0,3,0,0,0,0,0,39,,351,1.71,4.68,1,0.01,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,2001,0,495,0,2,0,0,0,0,0,49,,444,2.13,5.83,1,0.02,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,2002,0,556,0,4,0,0,0,0,0,29,,523,2.48,6.79,1,0.02,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,2003,0,677.09,0,2.28,0,0,0,0,0,35.09,,639.72,2.99,8.2,2,0.03,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,2004,0,710,0,2,0,0,0,0,0,37,,671,3.1,8.49,2,0.03,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,2005,0,925,0,1,0,0,0,0,0,48,,876,3.99,10.92,2,0.03,0.02,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,2006,0,1428,0,0,0,0,0,0,0,74,,1353,6.08,16.65,3,0.05,0.03,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,2007,0,2238,0,0,0,0,0,0,0,116,,2121,9.4,25.76,5,0.08,0.04,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,2008,0,1433.13,0,0,0,0,0,0,0,75,,1359,5.95,16.29,3,0.05,0.02,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,2009,0,1558.2,0,0,0,0,0,0,0,81,,1477,6.38,17.27,4,0.05,0.03,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,2010,0,1406,0,0,0,0,0,0,0,73,,1333,5.59,15.32,3,0.05,0.02,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,2011,0,1541,0,0,0,0,0,0,0,80,,1461,6.04,16.54,2,0.03,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nanas,2012,0,1782,0,162,0,0,0,0,0,84,,1536,6.26,17.14,2,0.03,0.01,1,,04/01/2023 - 08:59
Buah-buahan,Nanas,2013,0,1726,0,124,0,0,0,0,0,83,,1519,6.1,16.72,2,0.03,0.01,2,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,1993,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,1994,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,2001,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,2002,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,2003,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,2004,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,2005,0,713,0,0,0,0,0,0,0,6,,707,3.21,8.81,3,0.03,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,2006,0,684,0,0,0,0,0,0,0,6,,678,3.04,8.34,2,0.03,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,2007,0,602,0,0,0,0,0,0,0,5,,597,2.65,7.25,2,0.02,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,2008,0,675,0,0,0,0,0,0,0,6,,670,2.93,8.03,2,0.03,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,2009,0,653,0,0,0,0,0,0,0,5,,648,2.8,7.57,2,0.03,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,2010,0,578,0,0,0,0,0,0,0,5,,574,2.4,6.59,2,0.02,0.01,0,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,2011,0,665,0,0,0,0,0,0,0,5,,649,2.68,7.35,1,0.01,0,0,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,2012,0,664,0,0,0,0,0,0,0,6,,658,2.68,7.35,1,0.01,0,1,,04/01/2023 - 08:59
Buah-buahan,Nangka/cempedak,2013,0,707,0,0,0,0,0,0,0,6,,701,2.82,7.72,1,0.01,0,2,,04/01/2023 - 08:59
Buah-buahan,Pepaya,1993,0,422,0,0,0,0,0,0,0,42,,380,2.03,5.55,2,0.02,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,1994,0,371,0,0,0,0,0,0,0,37,,334,1.75,4.79,2,0.02,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,1995,0,586,0,0,0,0,0,0,0,59,,527,2.72,7.46,3,0.03,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,1996,0,382,0,0,0,0,0,0,0,38,,344,1.75,4.79,2,0.02,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,1997,0,361,0,0,0,0,0,0,0,36,,325,1.63,4.45,2,0.02,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,1998,0,490,0,0,0,0,0,0,0,49,,441,2.17,5.96,2,0.02,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,1999,0,450,0,0,0,0,0,0,0,45,,405,2,5.47,2,0.02,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,2000,0,492,0,0,0,0,0,0,0,43,,386,1.88,5.14,2,0.02,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,2001,0,501,0,0,0,0,0,0,0,50,,451,2.16,5.92,2,0.02,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,2002,0,605,0,0,0,0,0,0,0,38,,568,2.69,7.37,3,0.03,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,2003,0,626.74,0.29,0.19,0,0,0,0,0,38.86,,587.98,2.75,7.54,3,0.03,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,2004,0,733,2,1,0,0,0,0,0,46,,688,3.18,8.72,3,0.03,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,2005,0,549,0,0,0,0,0,0,0,34,,515,2.34,6.41,2,0.02,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,2006,0,643,0,0,0,0,0,0,0,40,,603,2.71,7.42,3,0.03,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,2007,0,622,0,0,0,0,0,0,0,39,,583,2.58,7.08,2,0.03,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,2008,0,717.9,0,0,0,0,0,0,0,45,,674,2.95,8.07,3,0.03,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,2009,0,772.84,0,0,0,0,0,0,0,48,,725,3.13,70.99,46,0.5,0.15,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,2010,0,676,1,0,0,0,0,0,0,42,,634,2.66,7.29,3,0.03,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,2011,0,958,0,0,0,0,0,0,0,59,,899,3.71,10.17,3,0.03,0,0,,04/01/2023 - 08:59
Buah-buahan,Pepaya,2012,0,906,0,0,0,0,0,0,0,56,,850,3.46,9.49,2,0.03,0,1,,04/01/2023 - 08:59
Buah-buahan,Pepaya,2013,0,840,0,0,0,0,0,0,0,52,,788,3.17,8.68,2,0.02,0,2,,04/01/2023 - 08:59
Buah-buahan,Pisang,1993,0,2644,0,25,0,0,0,0,0,262,,2357,12.56,34.42,26,0.31,0.05,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,1994,0,3087,0,33,0,0,0,0,0,305,,2749,14.42,39.51,29,0.36,0.06,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,1995,0,3805,0,55,0,0,0,0,0,375,,3375,17.44,47.79,42,0.48,0.07,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,1996,0,3023,0,102,0,0,0,0,0,292,,2629,13.36,36.6,32,0.37,0.06,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,1997,0,3057,0,71,0,0,0,0,0,299,,2687,13.45,36.84,32,0.37,0.06,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,1998,0,3177,0,77,0,0,0,0,0,310,,2790,13.75,37.68,24,0.26,0.08,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,1999,0,3376,0,76,0,0,0,0,0,330,,2970,14.64,40.12,26,0.28,0.08,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,2000,0,3747,0,2,0,0,0,0,0,374,,3370,16.37,44.86,29,0.31,0.09,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,2001,0,4300,0,0,0,0,0,0,1,430,,3870,18.56,50.86,33,0.36,0.11,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,2002,0,4384,0,1,0,0,0,0,0,206,,4178,19.79,54.23,35,0.38,0.11,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,2003,0,4177.16,0.56,0.24,0,0,0,0,0,196.34,,3981.14,18.63,51.03,33,0.36,0.11,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,2004,0,4874,0,1,0,0,0,0,0,229,,4645,21.46,58.81,38,0.41,0.12,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,2005,0,5178,0,4,0,0,0,0,0,243,,4931,22.43,61.45,40,0.43,0.13,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,2006,0,5037,0,4,0,0,0,0,0,237,,4797,21.53,59,38,0.41,0.12,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,2007,0,5454,0,2,0,0,0,0,0,256,,5196,23.03,63.08,41,0.44,0.13,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,2008,0,6004.62,0,2,0,0,0,0,0,282,,5721,25.03,68.58,44,0.48,0.14,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,2009,0,6373.53,0,0,0,0,0,0,0,300,,6074,26.25,70.99,46,0.5,0.15,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,2010,0,5755,3,0,0,0,0,0,0,271,,5487,23.01,63.03,41,0.44,0.13,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,2011,0,6133,2,2,0,0,0,0,0,288,,5844,2415,66.17,32,0.35,0.1,0,,04/01/2023 - 08:59
Buah-buahan,Pisang,2012,0,6189,2,1,0,0,0,0,0,291,,5899,24.03,65.85,32,0.35,0.1,1,,04/01/2023 - 08:59
Buah-buahan,Pisang,2013,0,6715,2,1,0,0,0,0,0,316,,6400,25.72,70.47,34,0.37,0.11,2,,04/01/2023 - 08:59
Buah-buahan,Rambutan,1993,0,278,0,0,0,0,0,0,0,28,,250,1.33,3.65,1,0.01,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,1994,0,323,0,0,0,0,0,0,0,32,,291,1.52,4.16,1,0.01,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,1995,0,364,0,0,0,0,0,0,0,36,,328,1.7,4.64,1,0.02,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,1996,0,370,0,0,0,0,0,0,0,37,,333,1.69,4.64,1,0.02,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,1997,0,296,0,0,0,0,0,0,0,30,,266,1.33,3.65,1,0.01,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,1998,0,278,0,0,0,0,0,0,0,28,,250,1.23,3.38,1,0.01,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,1999,0,263,0,0,0,0,0,0,0,26,,237,1.17,3.2,1,0.01,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,2000,0,296,0,0,0,0,0,0,0,30,,266,1.29,3.54,1,0.01,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,2001,0,351,0,0,0,0,0,0,0,35,,316,1.51,4.15,1,0.01,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,2002,0,477,0,0,0,0,0,0,0,4,,473,2.24,6.14,2,0.02,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,2003,0,815.44,0,0.6,0,0,0,0,0,6.6,,808.24,3.78,10.36,3,0.04,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,2004,0,710,0,0,0,0,0,0,0,6,,704,3.25,8.91,2,0.03,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,2005,0,676,0,0,0,0,0,0,0,5,,670,3.05,10.89,18,0.05,0.02,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,2006,0,801,0,0,0,0,0,0,0,6,,795,3.57,9.77,3,0.04,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,2007,0,706,0,0,0,0,0,0,0,6,,700,3.1,8.5,2,0.03,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,2008,0,978.26,0,1,0,0,0,0,0,8,,970,4.24,11.62,3,0.04,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,2009,0,986.84,0,0,0,0,0,0,0,8,,978,4.23,11.44,3,0.04,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,2010,0,523,0,1,0,0,0,0,0,4,,518,2.17,5.95,2,0.02,0,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,2011,0,812,0,0,0,0,0,0,0,7,,805,3.33,9.11,1,0.01,0.02,0,,04/01/2023 - 08:59
Buah-buahan,Rambutan,2012,0,757,0,1,0,0,0,0,0,6,,751,3.06,8.38,1,0.01,0.02,1,,04/01/2023 - 08:59
Buah-buahan,Rambutan,2013,0,659,0,0,0,0,0,0,0,5,,653,2.63,7.2,1,0.01,0.02,2,,04/01/2023 - 08:59
Buah-buahan,Salak,1993,0,349,0,0,0,0,0,0,0,35,,314,1.67,4.59,2,0.01,0,0,,04/01/2023 - 08:59
