Nama Kelompok,Nama komoditi,Tahun,Masukan,Keluaran,Impor,Ekpor,Perubahan stok,Pakan,Bibit,Makanan,Bukan makanan,Tercecer,Penggunaan lain,Bahan makanan,Kg tahun,Gram hari,Kalori hari,Protein hari,Lemak hari,Status angka,Kd uraian,Create at
Padi - Padian,Jagung basah,1994,0,267,0,0,0,0,0,0,0,0,,267,1.4,3.84,1,0.04,0.01,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,1995,0,240,0,0,0,0,0,0,0,0,,240,1.24,3.4,1,0.04,0.01,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,1996,0,236,0,0,0,0,0,0,0,0,,236,1.2,3.29,1,0.04,0.01,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,1997,0,224,0,0,0,0,0,0,0,0,,224,1.12,3.07,1,0.04,0.01,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,1998,0,521,0,2,0,0,0,0,308,0,,211,1.04,2.85,1,0.03,0.01,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,1999,0,151,0,3,0,0,0,0,0,0,,148,0.73,2,1,0.02,0.01,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,2000,0,152,0,2,0,0,0,0,0,0,,150,0.73,2,1,0.02,0.01,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,2001,0,172,0,1,0,0,0,0,19,0,,152,0.73,2,1,0.02,0.01,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,2002,0,304,0,2,12,0,0,0,0,0,,291,1.38,3.78,1,0.04,0.01,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,2003,0,267.06,0,0.65,10.26,0,0,0,0,0,,256.47,1.2,3.29,1,0.04,0.01,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,2004,0,348,1,0,13,0,0,0,0,0,,335,1.55,4.25,2,0.05,0.02,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,2005,0,226,1,0,0,0,0,0,0,0,,226,1.03,2.82,1,0.03,0.01,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,2006,0,191,1,0,0,0,0,0,0,0,,192,0.86,2.36,1,0.03,0.01,0,,04/01/2023 - 08:59
