tahun,bulan,kode_kelompok,nama_kelompok,kode_komoditi,nama_komoditi,kalori_kap_perhari,protein_kap_perhari,lemak_kap_perhari
1993,1,06,Sayur-sayuran,0614,Sawi,0.000157937147123288,0.000014357922465753,0.000001435792246575
1993,1,06,Sayur-sayuran,0615,Jamur,0.000412570507287671,0.000058134935117808,0.000005625961463014
1993,1,06,Sayur-sayuran,0616,Kentang,0.001951651891863013,0.000050692256931507,0.000002534612846575
1993,1,06,Sayur-sayuran,0617,"Bawang Merah",0.000492271627397260,0.000013537469753425,0.000001230679068493
1993,1,06,Sayur-sayuran,0618,"Bawang Putih",0.001790052007589040,0.000076888139923288,0.000006006885931507
1993,1,06,Sayur-sayuran,0619,Jahe,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,1,06,Sayur-sayuran,0620,Kunyit,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,1,06,Sayur-sayuran,0621,Lengkuas,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,1,06,Sayur-sayuran,0622,Kencur,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,1,06,Sayur-sayuran,0623,Cabai,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,1,06,Sayur-sayuran,0624,"Daun Bawang",0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,1,07,Daging,0701,"Daging Sapi",0.007838253602739725,0.000589436670926027,0.000595707273808219
1993,1,07,Daging,0702,"Daging Ayam Buras",0.000701047538219177,0.000089224232136986,0.000033990183671233
1993,1,07,Daging,0703,"Daging Kambing",0.000879935533972602,0.000126759944054794,0.000036920372054795
1993,1,07,Daging,0704,"Daging Kerbau",0.000354552777534247,0.000064464141369863,0.000008058017671233
1993,1,07,Daging,0705,"Daging Domba",0.000028276313671232,0.000006153394684931,0.000000219764095890
1993,1,07,Daging,0706,"Daging Kuda",0.001697018532904109,0.000347974507252055,0.000023998241879452
1993,1,07,Daging,0707,"Daging Bebek",0.001644421653808219,0.000278836715210959,0.000025023807775342
1993,1,07,Daging,0708,"Daging Angsa",0.005743168995890410,0.000590725953863014,0.000360999194027397
1993,1,07,Daging,0709,"Daging Ayam Ras",0.000130100356931506,0.000022503845523288,0.000001758112931507
1993,1,07,Daging,0710,"Daging Babi",0.002383561643835616,0.000495890410958904,0.000027397260273973
1993,1,08,Telur,0801,"Telur Ayam",0.001090030030273971,0.000088608892783562,0.000074543989167123
1993,1,08,Telur,0802,"Telur Bebek",0.009513588745068493,0.000683949893564384,0.000719947256383562
1993,1,08,Telur,0803,"Telur Puyuh",0.002453739649369862,0.000203442970928767,0.000173935975145205
