tahun,bulan,total_kalori_hari,jumlah_komoditi,populasi,date,month_sin,month_cos,kalori_ma3,kalori_std3,kalori_ma6,kalori_std6,kalori_ma12,kalori_std12,kalori_lag1,kalori_lag2,kalori_lag3,kalori_lag6,kalori_lag12,period
2014,7,1252899.0044930317,8,240232836.0,2014-07-01,-0.4999999999999997,-0.8660254037844388,1062946.8127122277,329006.84717342,872994.6209314239,294272.67013706034,966989.1635798168,279870.69471710455,683042.42915062,1252899.0044930317,683042.42915062,1252899.0044930317,904616.7123286811,2014-07-01
2014,8,683042.42915062,8,240232836.0,2014-08-01,-0.8660254037844385,-0.5000000000000004,872994.6209314239,329006.84717342,872994.6209314239,294272.67013706034,948524.639981645,291430.30121255136,1252899.0044930317,683042.42915062,1252899.0044930317,683042.42915062,904616.7123286811,2014-08-01
2014,9,683042.42915062,8,240232836.0,2014-09-01,-1.0,-1.8369701987210297e-16,872994.6209314239,329006.84717342,872994.6209314239,294272.67013706034,930060.1163834734,301316.7254944514,683042.42915062,1252899.0044930317,683042.42915062,683042.42915062,904616.7123286811,2014-09-01
2014,10,683042.42915062,8,240232836.0,2014-10-01,-0.8660254037844386,0.5000000000000001,683042.42915062,0.0,872994.6209314239,294272.67013706034,911595.5927853015,309690.2509847787,683042.42915062,683042.42915062,1252899.0044930317,683042.42915062,904616.7123286811,2014-10-01
2014,11,683042.42915062,8,240232836.0,2014-11-01,-0.5000000000000004,0.8660254037844384,683042.42915062,0.0,778018.525041022,232642.9726931312,843971.0965843947,254509.91770721917,683042.42915062,683042.42915062,683042.42915062,1252899.0044930317,1494536.3835615017,2014-11-01
2014,12,1252899.0044930317,8,240232836.0,2014-12-01,-2.4492935982947064e-16,1.0,872994.6209314239,329006.84717342,872994.6209314239,294272.67013706034,872994.6209314239,280577.98201309546,683042.42915062,683042.42915062,683042.42915062,683042.42915062,904616.7123286811,2014-12-01
2015,1,1132934.76712318,8,243115631.0,2015-01-01,0.49999999999999994,0.8660254037844387,1022958.7335889438,300424.99077005597,853000.5813697819,266016.9134445729,862997.6011506029,267650.77280170325,1252899.0044930317,683042.42915062,683042.42915062,1252899.0044930317,1252899.0044930317,2015-01-01
2015,2,508937.3972602256,8,243115631.0,2015-02-01,0.8660254037844386,0.5000000000000001,964923.7229588125,399425.21387614735,823983.0760547161,296063.0333758277,848488.84849307,282594.31493993156,1132934.76712318,1252899.0044930317,683042.42915062,683042.42915062,683042.42915062,2015-02-01
2015,3,508937.3972602256,8,243115631.0,2015-03-01,1.0,6.123233995736766e-17,716936.5205478771,360265.04946399544,794965.5707396505,320188.7002214661,833980.0958355373,296011.61505421076,508937.3972602256,1132934.76712318,1252899.0044930317,683042.42915062,683042.42915062,2015-03-01
2015,4,508937.3972602256,8,243115631.0,2015-04-01,0.8660254037844387,-0.4999999999999998,508937.3972602256,0.0,765948.0654245848,339657.842971458,819471.3431780044,308102.133087793,508937.3972602256,508937.3972602256,1132934.76712318,683042.42915062,683042.42915062,2015-04-01
2015,5,508937.3972602256,8,243115631.0,2015-05-01,0.49999999999999994,-0.8660254037844387,508937.3972602256,0.0,736930.560109519,355236.9059645009,757474.5425752705,287092.7507872167,508937.3972602256,508937.3972602256,508937.3972602256,683042.42915062,1252899.0044930317,2015-05-01
2015,6,508937.3972602256,8,243115631.0,2015-06-01,1.2246467991473532e-16,-1.0,508937.3972602256,0.0,612936.9589040513,254745.85950049807,742965.7899177376,295473.31049269566,508937.3972602256,508937.3972602256,508937.3972602256,1252899.0044930317,683042.42915062,2015-06-01
2015,7,508937.3972602256,8,243115631.0,2015-07-01,-0.4999999999999997,-0.8660254037844388,508937.3972602256,0.0,508937.3972602256,0.0,680968.9893150037,253872.44742402484,508937.3972602256,508937.3972602256,508937.3972602256,1132934.76712318,1252899.0044930317,2015-07-01
2015,8,1132934.76712318,8,243115631.0,2015-08-01,-0.8660254037844385,-0.5000000000000004,716936.5205478771,360265.04946399544,612936.9589040513,254745.85950049807,718460.0174793837,285460.5933662037,508937.3972602256,508937.3972602256,508937.3972602256,508937.3972602256,683042.42915062,2015-08-01
2015,9,508937.3972602256,8,243115631.0,2015-09-01,-1.0,-1.8369701987210297e-16,716936.5205478771,360265.04946399544,612936.9589040513,254745.85950049807,703951.2648218508,291778.95275692124,1132934.76712318,508937.3972602256,508937.3972602256,508937.3972602256,683042.42915062,2015-09-01
2015,10,508937.3972602256,8,243115631.0,2015-10-01,-0.8660254037844386,0.5000000000000001,716936.5205478771,360265.04946399544,612936.9589040513,254745.85950049807,689442.512164318,297191.6602707402,508937.3972602256,1132934.76712318,508937.3972602256,508937.3972602256,683042.42915062,2015-10-01
2015,11,508937.3972602256,8,243115631.0,2015-11-01,-0.5000000000000004,0.8660254037844384,508937.3972602256,0.0,612936.9589040513,254745.85950049807,674933.7595067852,301747.4562488394,508937.3972602256,508937.3972602256,1132934.76712318,508937.3972602256,683042.42915062,2015-11-01
2015,12,508937.3972602256,8,243115631.0,2015-12-01,-2.4492935982947064e-16,1.0,508937.3972602256,0.0,612936.9589040513,254745.85950049807,612936.9589040513,242890.6467989389,508937.3972602256,508937.3972602256,508937.3972602256,508937.3972602256,1252899.0044930317,2015-12-01
2016,1,1250166.754191662,7,246033018.0,2016-01-01,0.49999999999999994,0.8660254037844387,756013.8495707043,427948.9687556182,736475.1850592907,354444.073984577,622706.2911597582,266879.84060645575,508937.3972602256,508937.3972602256,508937.3972602256,508937.3972602256,1132934.76712318,2016-01-01
2016,2,1250166.754191662,7,246033018.0,2016-02-01,0.8660254037844386,0.5000000000000001,1003090.3018811833,427948.9687556183,756013.8495707043,382769.1940153982,684475.4042373778,318868.95769945957,1250166.754191662,508937.3972602256,508937.3972602256,1132934.76712318,508937.3972602256,2016-02-01
2016,3,1250166.754191662,7,246033018.0,2016-03-01,1.0,6.123233995736766e-17,1250166.754191662,0.0,879552.0757259438,405988.039076396,746244.5173149975,351859.936697774,1250166.754191662,1250166.754191662,508937.3972602256,508937.3972602256,508937.3972602256,2016-03-01
2016,4,1250166.754191662,7,246033018.0,2016-04-01,0.8660254037844387,-0.4999999999999998,1250166.754191662,0.0,1003090.301881183,382769.1940153982,808013.6303926172,370956.679314435,1250166.754191662,1250166.754191662,1250166.754191662,508937.3972602256,508937.3972602256,2016-04-01
2016,5,625363.152986242,7,246033018.0,2016-05-01,0.49999999999999994,-0.8660254037844387,1041898.8871231886,360730.52734659717,1022494.5945021858,354624.54113336,817715.7767031187,363878.4089080094,1250166.754191662,1250166.754191662,1250166.754191662,508937.3972602256,508937.3972602256,2016-05-01
2016,6,625363.152986242,7,246033018.0,2016-06-01,1.2246467991473532e-16,-1.0,833631.0200547153,360730.52734659705,1041898.8871231886,322647.19228253496,827417.92301362,356371.65555162827,625363.152986242,1250166.754191662,1250166.754191662,508937.3972602256,508937.3972602256,2016-06-01
2016,7,1250166.754191662,7,246033018.0,2016-07-01,-0.4999999999999997,-0.8660254037844388,833631.0200547153,360730.52734659705,1041898.8871231886,322647.19228253496,889187.0360912398,360367.23374158505,625363.152986242,625363.152986242,1250166.754191662,1250166.754191662,508937.3972602256,2016-07-01
2016,8,625363.152986242,7,246033018.0,2016-08-01,-0.8660254037844385,-0.5000000000000004,833631.0200547153,360730.52734659705,937764.953588952,342219.02639067057,846889.4015798281,358941.7502743857,1250166.754191662,625363.152986242,625363.152986242,1250166.754191662,1132934.76712318,2016-08-01
2016,9,625363.152986242,7,246033018.0,2016-09-01,-1.0,-1.8369701987210297e-16,833631.0200547153,360730.52734659705,833631.0200547153,322647.19228253496,856591.5478903296,350449.54543691967,625363.152986242,1250166.754191662,625363.152986242,1250166.754191662,508937.3972602256,2016-09-01
2016,10,625363.152986242,7,246033018.0,2016-10-01,-0.8660254037844386,0.5000000000000001,625363.152986242,0.0,729497.0865204786,255075.00206777797,866293.6942008309,341445.76373649697,625363.152986242,625363.152986242,1250166.754191662,1250166.754191662,508937.3972602256,2016-10-01
2016,11,625363.152986242,7,246033018.0,2016-11-01,-0.5000000000000004,0.8660254037844384,625363.152986242,0.0,729497.0865204786,255075.00206777797,875995.8405113323,331888.7722114259,625363.152986242,625363.152986242,625363.152986242,625363.152986242,508937.3972602256,2016-11-01
2016,12,625363.152986242,7,246033018.0,2016-12-01,-2.4492935982947064e-16,1.0,625363.152986242,0.0,729497.0865204786,255075.00206777797,885697.9868218336,321729.27522401133,625363.152986242,625363.152986242,625363.152986242,625363.152986242,508937.3972602256,2016-12-01
2017,1,664272.8017424026,8,248985414.0,2017-01-01,0.49999999999999994,0.8660254037844387,638333.0359049622,22464.49618344464,631848.094445602,15884.797587252731,836873.4907843954,305434.5109299961,625363.152986242,625363.152986242,625363.152986242,1250166.754191662,1250166.754191662,2017-01-01
2017,2,664272.8017424026,8,248985414.0,2017-02-01,0.8660254037844386,0.5000000000000001,651302.9188236824,22464.49618344484,638333.0359049622,20092.856218586014,788048.9947469571,279051.37103762,664272.8017424026,625363.152986242,625363.152986242,625363.152986242,1250166.754191662,2017-02-01
2017,3,664272.8017424026,8,248985414.0,2017-03-01,1.0,6.123233995736766e-17,664272.8017424026,0.0,644817.9773643223,21311.692328352645,739224.4987095188,239265.5599307103,664272.8017424026,664272.8017424026,625363.152986242,625363.152986242,1250166.754191662,2017-03-01
2017,4,664272.8017424026,8,248985414.0,2017-04-01,0.8660254037844387,-0.4999999999999998,664272.8017424026,0.0,651302.9188236824,20092.856218586097,690400.0026720805,177271.7178232006,664272.8017424026,664272.8017424026,664272.8017424026,625363.152986242,1250166.754191662,2017-04-01
2017,5,664272.8017424026,8,248985414.0,2017-05-01,0.49999999999999994,-0.8660254037844387,664272.8017424026,0.0,657787.8602830425,15884.797587252939,693642.4734017606,176327.31876052672,664272.8017424026,664272.8017424026,664272.8017424026,625363.152986242,625363.152986242,2017-05-01
2017,6,664272.8017424026,8,248985414.0,2017-06-01,1.2246467991473532e-16,-1.0,664272.8017424026,0.0,664272.8017424026,0.0,696884.9441314406,175312.42381267372,664272.8017424026,664272.8017424026,664272.8017424026,625363.152986242,625363.152986242,2017-06-01
2017,7,664272.8017424026,8,248985414.0,2017-07-01,-0.4999999999999997,-0.8660254037844388,664272.8017424026,0.0,664272.8017424026,0.0,648060.4480940023,20035.692927170516,664272.8017424026,664272.8017424026,664272.8017424026,664272.8017424026,1250166.754191662,2017-07-01
2017,8,664272.8017424026,8,248985414.0,2017-08-01,-0.8660254037844385,-0.5000000000000004,664272.8017424026,0.0,664272.8017424026,0.0,651302.9188236824,19157.78671551451,664272.8017424026,664272.8017424026,664272.8017424026,664272.8017424026,625363.152986242,2017-08-01
2017,9,664272.8017424026,8,248985414.0,2017-09-01,-1.0,-1.8369701987210297e-16,664272.8017424026,0.0,664272.8017424026,0.0,654545.3895533625,17597.55077028058,664272.8017424026,664272.8017424026,664272.8017424026,664272.8017424026,625363.152986242,2017-09-01
2017,10,1128974.9689752352,8,248985414.0,2017-10-01,-0.8660254037844386,0.5000000000000001,819173.5241533468,268295.92134487885,741723.1629478749,189713.86534765622,696513.0408857785,137014.54120682456,664272.8017424026,664272.8017424026,664272.8017424026,664272.8017424026,625363.152986242,2017-10-01
2017,11,664272.8017424026,8,248985414.0,2017-11-01,-0.5000000000000004,0.8660254037844384,819173.5241533468,268295.92134487885,741723.1629478746,189713.86534765622,699755.5116154585,135631.1148928976,1128974.9689752352,664272.8017424026,664272.8017424026,664272.8017424026,625363.152986242,2017-11-01
2017,12,664272.8017424026,8,248985414.0,2017-12-01,-2.4492935982947064e-16,1.0,819173.5241533468,268295.92134487885,741723.1629478746,189713.86534765622,702997.9823451387,134147.96067243937,664272.8017424026,1128974.9689752352,664272.8017424026,664272.8017424026,625363.152986242,2017-12-01
2018,1,686390.116208154,8,251973239.0,2018-01-01,0.49999999999999994,0.8660254037844387,671645.2398976531,12769.437460557032,745409.3820255,188116.1406524468,704841.0918839512,133718.78424173433,664272.8017424026,664272.8017424026,1128974.9689752352,664272.8017424026,664272.8017424026,2018-01-01
2018,2,686390.116208154,8,251973239.0,2018-02-01,0.8660254037844386,0.5000000000000001,679017.6780529035,12769.437460557292,749095.6011031251,186417.28014371914,706684.201422764,133260.41953295047,686390.116208154,664272.8017424026,664272.8017424026,664272.8017424026,664272.8017424026,2018-02-01
2018,3,1178523.9244272853,8,251973239.0,2018-03-01,1.0,6.123233995736766e-17,850434.7189478645,284133.5866526316,834804.1215506056,247747.89056568875,749538.4616465041,189290.0322749877,686390.116208154,686390.116208154,664272.8017424026,664272.8017424026,664272.8017424026,2018-03-01
2018,4,686390.116208154,8,251973239.0,2018-04-01,0.8660254037844387,-0.4999999999999998,850434.7189478645,284133.5866526316,761039.9794227588,204811.3394921598,751381.5711853168,188490.3170034759,1178523.9244272853,686390.116208154,686390.116208154,1128974.9689752352,664272.8017424026,2018-04-01
2018,5,686390.116208154,8,251973239.0,2018-05-01,0.49999999999999994,-0.8660254037844387,850434.7189478645,284133.5866526316,764726.198500384,202911.61132772654,753224.6807241294,187667.44826413854,686390.116208154,1178523.9244272853,686390.116208154,664272.8017424026,664272.8017424026,2018-05-01
2018,6,686390.116208154,8,251973239.0,2018-06-01,1.2246467991473532e-16,-1.0,686390.116208154,0.0,768412.4175780093,200912.78588493116,755067.7902629421,186821.12011325892,686390.116208154,686390.116208154,1178523.9244272853,664272.8017424026,664272.8017424026,2018-06-01
2018,7,686390.116208154,8,251973239.0,2018-07-01,-0.4999999999999997,-0.8660254037844388,686390.116208154,0.0,768412.4175780093,200912.78588493116,756910.8998017545,185951.01223513042,686390.116208154,686390.116208154,686390.116208154,686390.116208154,664272.8017424026,2018-07-01
2018,8,686390.116208154,8,251973239.0,2018-08-01,-0.8660254037844385,-0.5000000000000004,686390.116208154,0.0,768412.4175780093,200912.78588493116,758754.0093405672,185056.78920445975,686390.116208154,686390.116208154,686390.116208154,686390.116208154,664272.8017424026,2018-08-01
2018,9,686390.116208154,8,251973239.0,2018-09-01,-1.0,-1.8369701987210297e-16,686390.116208154,0.0,686390.116208154,0.0,760597.1188793797,184138.09969301685,686390.116208154,686390.116208154,686390.116208154,1178523.9244272853,664272.8017424026,2018-09-01
2018,10,1178523.9244272853,8,251973239.0,2018-10-01,-0.8660254037844386,0.5000000000000001,850434.7189478645,284133.5866526316,768412.4175780093,200912.78588493116,764726.198500384,193468.63032452916,686390.116208154,686390.116208154,686390.116208154,686390.116208154,1128974.9689752352,2018-10-01
2018,11,686390.116208154,8,251973239.0,2018-11-01,-0.5000000000000004,0.8660254037844384,850434.7189478645,284133.5866526316,768412.4175780093,200912.78588493116,766569.3080391967,192527.71048523625,1178523.9244272853,686390.116208154,686390.116208154,686390.116208154,664272.8017424026,2018-11-01
2018,12,686390.116208154,8,251973239.0,2018-12-01,-2.4492935982947064e-16,1.0,850434.7189478645,284133.5866526316,768412.4175780093,200912.78588493116,768412.4175780093,191562.8250423915,686390.116208154,1178523.9244272853,686390.116208154,686390.116208154,664272.8017424026,2018-12-01
2019,1,1046466.0936108595,7,254996918.0,2019-01-01,0.49999999999999994,0.8660254037844387,806415.4420090559,207889.96248217014,828425.0804784602,223967.32272506892,798418.7490282347,205258.39702203413,686390.116208154,686390.116208154,1178523.9244272853,686390.116208154,686390.116208154,2019-01-01
2019,2,1046466.0936108595,7,254996918.0,2019-02-01,0.8660254037844386,0.5000000000000001,926440.7678099576,207889.96248217038,888437.7433789112,226524.01299875163,828425.0804784602,213544.46343184705,1046466.0936108595,686390.116208154,686390.116208154,686390.116208154,686390.116208154,2019-02-01
2019,3,1046466.0936108595,7,254996918.0,2019-03-01,1.0,6.123233995736766e-17,1046466.0936108595,0.0,948450.4062793618,209335.2526004983,817420.2612437579,196592.10813791072,1046466.0936108595,1046466.0936108595,686390.116208154,686390.116208154,1178523.9244272853,2019-03-01
2019,4,1046466.0936108595,7,254996918.0,2019-04-01,0.8660254037844387,-0.4999999999999998,1046466.0936108595,0.0,926440.7678099576,185942.43518000506,847426.5926939836,202174.89325618887,1046466.0936108595,1046466.0936108595,1046466.0936108595,1178523.9244272853,686390.116208154,2019-04-01
2019,5,1046466.0936108595,7,254996918.0,2019-05-01,0.49999999999999994,-0.8660254037844387,1046466.0936108595,0.0,986453.4307104085,147000.40221175936,877432.9241442089,202821.23322941837,1046466.0936108595,1046466.0936108595,1046466.0936108595,686390.116208154,686390.116208154,2019-05-01
2019,6,1046466.0936108595,7,254996918.0,2019-06-01,1.2246467991473532e-16,-1.0,1046466.0936108595,0.0,1046466.0936108595,0.0,907439.2555944342,198579.33562876133,1046466.0936108595,1046466.0936108595,1046466.0936108595,686390.116208154,686390.116208154,2019-06-01
2019,7,1500424.1210080767,7,254996918.0,2019-07-01,-0.4999999999999997,-0.8660254037844388,1197785.4360765985,262092.78931857596,1122125.764843729,185327.5886272616,975275.4226610946,248873.58232371573,1046466.0936108595,1046466.0936108595,1046466.0936108595,1046466.0936108595,686390.116208154,2019-07-01
2019,8,1500424.1210080767,7,254996918.0,2019-08-01,-0.8660254037844385,-0.5000000000000004,1349104.7785423377,262092.78931857625,1197785.4360765985,234422.91733154585,1043111.5897277547,272767.6580582826,1500424.1210080767,1046466.0936108595,1046466.0936108595,1046466.0936108595,686390.116208154,2019-08-01
2019,9,1046466.0936108595,7,254996918.0,2019-09-01,-1.0,-1.8369701987210297e-16,1349104.7785423377,262092.78931857625,1197785.4360765985,234422.91733154585,1073117.9211779803,248702.20089125558,1500424.1210080767,1500424.1210080767,1046466.0936108595,1046466.0936108595,686390.116208154,2019-09-01
2019,10,1046466.0936108595,7,254996918.0,2019-10-01,-0.8660254037844386,0.5000000000000001,1197785.4360765985,262092.78931857596,1197785.4360765985,234422.91733154585,1062113.101943278,246526.27627693937,1046466.0936108595,1500424.1210080767,1500424.1210080767,1046466.0936108595,1178523.9244272853,2019-10-01
